keys,en
10K_TAKE_IT_OR_LEAVE_IT_B4199D,"10k, Take it or Leave It"
ACCEPT_DIAZ_OFFER_THREESOME_B7CB0F,Accept diaz offer [threesome]
ACTIVITY_C6E73E,Activity
ACTUALLY_I_WANTED_TO_ASK_YOU_S_44E060,"Actually, I wanted to ask you something."
ADD_DEBT_TO_A_VICTIM_56AE52,Add debt to a victim
ADMIRING_HER_MORE_THAN_ENOUGH_C75F32,(admiring her) More than enough. You're… more than I could have ever imagined.
ADMIRING_PERFECT_EVERY_INCH_O_C7BC04,(admiring) Perfect… every inch of you looks even better like this.
AFTER_A_LONG_DAY_THAT_BEGAN_WI_C5C09C,"After a long day that began with Mike, she now endures Diaz's rough treatment. He watches her struggle, thoughts racing. She's really pushing herself tonight"
AFTER_A_PAUSE_SHE_GULPS_THEN_M_D07303,"After a pause, she gulps, then mimics the gesture—quiet. Her cheeks flush, but her eyes stay locked on his, burning."
AFTER_HIS_CONVERSATION_WITH_AN_41901D,"After his conversation with Aniya, {{player_name}} heads back to Crime Alley to deliver the news to Weasel. The tension is high as he prepares for another difficult conversation."
AFTER_SLOWING_DOWN_PLAYER_NAME_A0DE74,after slowing down {{player_name}}.... What do you need weasel
AFTER_THE_TENSE_CONVERSATION_W_F967BA,"After the tense conversation with Aniya, {{player_name}} finds himself in the dingy corners of Crime Alley."
AFTER_THE_UNSETTLING_CONVERSAT_501FFF,"After the unsettling conversation with Weasel, {{player_name}} makes his way to the park where Aniya is taking a break from her photoshoot. The sun is setting, casting long shadows across the park as {{player_name}} approaches her."
AFTER_WEASEL_LEFT_THE_ROOM_FEL_6F2181,"After Weasel left, the room fell into silence—except for the wet, rhythmic sound of {{player_name}}'s hips smacking against Nisha's glistening ass."
AFTER_YET_ANOTHER_TENSE_CONVER_10D14E,"After yet another tense conversation with Anna, {{player_name}} finds himself once again in the dark, grimy alley where Weasel lurks. Determined to find a solution, he approaches Weasel, hoping to convince him to let Anna move in."
AH_PLAYER_NAME_FINALLY_YOU_COM_A886CF,"Ah! {{player_name}}! Finally, you come. I wait long time for you, da? Did you bring it?"
AH_PLAYER_NAME_YOU_HAVE_IT_DA_431F93,"Ah! {{player_name}}! You have it, da? You bring me the milk?"
AH_SO_YOU_WANT_MY_PUSSY_THIS_T_D07ECE,"Ah, so you want my pussy this time?"
ALLOW_WEASEL_TO_WATCH_0BE86B,Allow weasel to watch
ALL_OF_IT_IN_YOUR_MOUTH_YOU_WA_9ECD05,All of it in your mouth. You want it?
ALREADY_THROBBING_FOR_ME_TYPIC_5EAFDC,Already throbbing for me. Typical.
ALRIGHT_ALRIGHT_I_LL_BRING_YOU_B4BA71,"Alright, alright. I’ll bring you the milk. But you’d better start putting in the actual work. No amount of milk is going to fix that scrawny frame if you don’t train."
ALRIGHT_ANIYA_I_LL_FIGURE_SOME_A5DCFD,"Alright, Aniya. I’ll figure something out. I promise I won’t let him keep bothering you like this."
ALRIGHT_ANIYA_JUST_SO_YOU_KNOW_636906,"Alright, Aniya, just so you know, this shoot is for $25,000. It’s for this bitch-themed fetish outfit. You need to wear this and pose exactly as the company instructed."
ALRIGHT_ANIYA_NOW_I_WANT_YOU_T_AEAAF8,"Alright, Aniya, now I want you to shake that ass. Show off the tail—move your hips. Make it look like you’re wagging it for the camera."
ALRIGHT_BEST_I_CAN_DO_IS_8000_F8A01F,"Alright, best i can do is 8000"
ALRIGHT_GO_AHEAD_MAKE_ME_YOUR_22279C,"Alright, go ahead… make me your mess. I'll let you have your wish."
ALRIGHT_HERO_I_LL_COME_WITH_YO_845753,"Alright, hero. I’ll come with you. Just don’t expect me to be some perfect girlfriend."
ALRIGHT_IF_THAT_S_WHAT_YOU_WAN_236733,Alright… if that’s what you want. Just know I’m here whenever you need me.
ALRIGHT_I_GOTTA_GO_NOW_YOU_KNO_853418,"Alright, I gotta go now… You know where to find me if you want to play with your new sexy little temptation."
ALRIGHT_I_LL_COME_OVER_LATER_741928,"Alright, I'll come over later."
ALRIGHT_I_LL_HELP_YOU_1F3F00,"Alright, I'll help you"
ALRIGHT_I_LL_TRY_0BECAF,"Alright, I'll try."
ALRIGHT_I_VE_GOTTA_GO_NOW_BUT_460CA1,"Alright, I've gotta go now… but remember, next time I might let you make an even bigger mess."
ALRIGHT_I_VE_GOTTA_GO_NOW_BUT_B5B13B,"Alright, I've gotta go now… but you know where to find me if you need me to take care of you like this again."
ALRIGHT_MAKE_ME_YOURS_COVER_ME_118671,"Alright, make me yours. Cover me from head to toe. I'll be exactly how you like."
ALRIGHT_PLAYER_NAME_LET_S_GET_D5A518,"Alright, {{player_name}}, let’s get this over with. But you better not make this weird."
ALRIGHT_PLAYER_NAME_LET_S_SEE_598070,"Alright, {{player_name}}. Let’s see how far your stupid kindness gets you."
